time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.pitch_angle,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driver_demands.steering
0.4,8.828964042,3.60218E-05,24.94189577,0.000138086,-0.008180808,-5.60921E-06,-4.55117E-06,0,7.64194E-05
0.41,9.078379807,3.6252E-05,24.94126293,0.000135549,-0.008197004,-5.58576E-06,-4.48228E-06,0,7.34389E-05
0.42,9.327789328,3.64741E-05,24.94064718,0.000132937,-0.008212433,-5.55921E-06,-4.4097E-06,0,7.04517E-05
0.43,9.577192793,3.66884E-05,24.94005134,0.000130283,-0.00822702,-5.53008E-06,-4.33468E-06,0,6.74877E-05
0.44,9.826590401,3.6895E-05,24.9394749,0.000127619,-0.008240703,-5.49889E-06,-4.2584E-06,0,6.45746E-05
0.45,10.07598233,3.70942E-05,24.9389147,0.000124978,-0.008253433,-5.46619E-06,-4.18199E-06,0,6.1737E-05
0.46,10.32536873,3.72863E-05,24.93836746,0.000122386,-0.008265171,-5.43249E-06,-4.10651E-06,0,5.89967E-05
0.47,10.57474971,3.74714E-05,24.93783161,0.00011987,-0.008275887,-5.39828E-06,-4.03292E-06,0,0.000056373
0.48,10.82412539,3.765E-05,24.93730711,0.000117451,-0.008285562,-5.36403E-06,-3.96212E-06,0,5.38831E-05
0.49,11.07349589,3.78223E-05,24.93679395,0.000115149,-0.008294192,-5.3302E-06,-3.89489E-06,0,5.15424E-05
0.5,11.3228613,3.79885E-05,24.93629082,0.000112983,-0.008301781,-5.29718E-06,-3.83197E-06,0,4.93635E-05
0.51,11.57222173,3.8149E-05,24.93579506,0.000110967,-0.008308342,-5.26537E-06,-3.77398E-06,0,4.73567E-05
0.52,11.82157722,3.8304E-05,24.93530381,0.000109112,-0.008313893,-5.2351E-06,-3.72145E-06,0,4.55292E-05
0.53,12.07092782,3.84537E-05,24.93481571,0.000107427,-0.00831846,-5.20666E-06,-3.67481E-06,0,4.38859E-05
0.54,12.32027355,3.85984E-05,24.93433129,0.00010592,-0.008322079,-5.1803E-06,-3.63439E-06,0,4.24295E-05
0.55,12.56961446,3.87382E-05,24.9338519,0.000104593,-0.008324793,-5.15622E-06,-3.60046E-06,0,4.11607E-05
0.56,12.8189506,3.88734E-05,24.93337844,0.000103449,-0.008326656,-5.1346E-06,-3.57316E-06,0,4.00782E-05
0.57,13.06828205,3.90041E-05,24.93291079,0.000102486,-0.008327727,-5.11555E-06,-3.55259E-06,0,3.91789E-05
0.58,13.31760884,3.91304E-05,24.9324482,0.000101702,-0.008328066,-5.09916E-06,-3.53874E-06,0,3.84575E-05
0.59,13.56693102,3.92524E-05,24.93199005,0.000101092,-0.008327739,-5.08547E-06,-3.53154E-06,0,3.79077E-05
0.6,13.81624865,3.93702E-05,24.93153626,0.00010065,-0.00832681,-5.07446E-06,-3.53083E-06,0,3.75214E-05
0.61,14.06556177,3.94838E-05,24.93108715,0.000100368,-0.008325343,-5.06611E-06,-3.53642E-06,0,3.72899E-05
